"0000000001","Langfristet gæld primo F-året"
"0000000002","Anskaffelser F-året"
"0000000003","Overførsel fra bygge- og IT-kredit til langfristet gæld"
"0000000004","Afdrag på langfristet gæld"
"0000000005","Bygge- og IT-kredit primo F-året"
"0000000006","Igangværende bygge- og IT-projekter"
"0000000007","Kortfristet gæld (træk på SKB FF7-konti)"
"0000000008","Forventet afvigende likviditetstræk i forhold til bevillingen"
"0000000009","Afhændelse af aktiver vedr. likviditet"
"0000000010","Indtægtsført bevilling"
"0000000011","Salg af varer"
"0000000012","Internt statsligt salg af varer og tjenesteydelser"
"0000000013","Kontrolafgifter og gebyrer"
"0000000015","Vareforbrug af lagre"
"0000000016","Husleje, leje arealer,leasing"
"0000000017","Internt statsligt køb af varer og tjenester"
"0000000018","Lønninger / personaleomkostninger"
"0000000019","Fradrag for anlægsløn"
"0000000020","Af- og nedskrivninger"
"0000000021","Andre driftsindtægter"
"0000000022","Andre ordinære driftsomkostninger"
"0000000025","Finansielle indtægter"
"0000000026","Finansielle omkostninger"
"0000000028","Ekstraordinære indtægter"
"0000000029","Ekstraordinære omkostninger"
"0000000030","Skatter og afgifter"
"0000000031","Overførselsindtægter fra EU"
"0000000032","Overførselsindtægter fra kommuner og regioner"
"0000000033","Interne statslige overførselsindtægter"
"0000000034","Øvrige overførselsindtægter"
"0000000035","Forbrug af videreførsel"
"0000000040","Statslig momsrefusionsudgift"
"0000000041","Overførselsudgifter til EU og øvrige udland"
"0000000042","Overførselsudgifter til kommuner og regioner"
"0000000043","Interne statslige overførselsudgifter"
"0000000044","Tilskud til personer"
"0000000045","Tilskud til erhverv"
"0000000046","Tilskud til anden virksomhed og investeringstilskud"
"0000000049","Reserver og budgetregulering"
"0000000050","Immaterielle anlægsaktiver"
"0000000051","Anlægsaktiver (anskaffelser)"
"0000000052","Afhændelse af anlægsaktiver udenfor omk.reform"
"0000000053","Statsforskrivninger"
"0000000054","Statslige udlån, tilgang"
"0000000055","Statslige udlån, afgang"
"0000000056","Emmissionskurstab, tilgang"
"0000000057","Emmissionskurstab, afgang"
"0000000058","Værdipapirer, tilgang"
"0000000059","Værdipapirer, afgang"
"0000000060","Varebeholdninger"
"0000000061","Tilgodehavender"
"0000000062","SKB-kassekredit og SKB-uforrentet likviditet"
"0000000063","Likvide beholdninger"
"0000000070","Reguleret egenkapital"
"0000000071","Opskrivninger over egenkapitalen"
"0000000072","Reserveret egenkapital"
"0000000073","Henlæggelser af egenkapitalen"
"0000000074","Fri egenkapital (budgettering af Årets resultat)"
"0000000075","Reserveret bevilling (budgetteret forbrug heraf)"
"0000000076","Hensættelser"
"0000000077","Hensættelser vedr. afgivne tilsagn mv."
"0000000078","Overført overskud"
"0000000080","Statsgæld indland, tilgang"
"0000000081","Statsgæld indland, afgang"
"0000000082","Statsgæld udland, tilgang"
"0000000083","Statsgæld udland, afgang"
"0000000084","Prioritetsgæld og anden langfristet gæld, tilgang"
"0000000085","Prioritetsgæld og anden langfristet gæld, afgang"
"0000000086","Langfristet gæld på SKB-konti"
"0000000087","Donationer"
"0000000093","Igangværende arbejder for fremmedregning, forpligtelser"
"0000000094","Feriepengeforpligtelse"
"0000000095","Gæld vedr. køb af varer og tjenester"
"0000000096","Periodeafgrænsningsposter, forpligtelser"
"0000000097","Anden kortfristet gæld"
"0000000098","Systemtekniske mellemregnings- og afstemningskonti"
"0100000000","Dronningen"
"0110000000","Statsydelse"
"0111000000","Statsydelse"
"0111010000","Statsydelse"
"0111011000","Almindelig virksomhed"
"0200000000","Medlemmer af det kongelige hus m.fl."
"0210000000","Årpenge mv."
"0211000000","Årpenge mv."
"0211010000","Årpenge mv."
"0211011000","Almindelig virksomhed"
"0300000000","Folketinget"
"0310000000","Udgifter ved Folketinget"
